family_name_1,given_name_1,family_name_2,given_name_2,year,field,subfield,type,unrecognized?,reference
Kazhdan,David,Margulis,Grigory,1968,Mathematics,,,,https://en.wikipedia.org/wiki/Kazhdan–Margulis_theorem
Kelvin,Lord*,Helmholtz,Hermann,1868,Engineering,Fluid Mechanics,,,https://en.wikipedia.org/wiki/Kelvin–Helmholtz_instability
Kelvin,Lord*,Stokes,George,,Mathematics,Calculus,,,https://en.wikipedia.org/wiki/Stokes%27_theorem
Kennelly,Arthur,Heaviside,Oliver,1902,Physics,Atmospheric Physics,,,https://en.wikipedia.org/wiki/Kennelly–Heaviside_layer
Khinchin,Aleksandr,Kolmogorov,Andrey,1930,Mathematics,Probability/Statistics,,Norbert Wiener,https://en.wikipedia.org/wiki/Wiener–Khinchin_theorem
Kleene,Stephen,Brouwer,Luitzen,1923,Mathematics,,,"Nikolai Luzin, Wacław Sierpiński",https://en.wikipedia.org/wiki/Kleene–Brouwer_order#History
Kleene,Stephen,Mostowski,Andrzej,,,,,,https://en.wikipedia.org/wiki/Arithmetical_hierarchy
Kleene,Stephen,Rosser,John,1935,Mathematics,Logic,,,https://en.wikipedia.org/wiki/Kleene–Rosser_paradox
Klein,Oskar,Nishina,Yoshio,1928,Physics,Quantum Mechanics,,,https://en.wikipedia.org/wiki/Klein–Nishina_formula
Klein,Oskar,Gordon,Walter,1926,Physics,Quantum Mechanics,,,https://en.wikipedia.org/wiki/Klein–Gordon_equation
Knudsen,Martin,Langmuir,Irving,,Chemistry,,,,https://en.wikipedia.org/wiki/Hertz–Knudsen_equation
Kohn,Walter,Sham,Lu,1965,Physics,Quantum Mechanics,,,
Koksma,Jurjen,Hlawka,Edmund,,Mathematics,,,,https://en.wikipedia.org/wiki/Low-discrepancy_sequence#The_Koksma–Hlawka_inequality
Kolmogorov,Andrey,Smirnov,Nikolai,1933,Mathematics,Probability/Statistics,,,https://en.wikipedia.org/wiki/Kolmogorov–Smirnov_test
Koopman,Bernard,von Neumann,John,1931,Physics,Classical Mechanics,,,https://en.wikipedia.org/wiki/Koopman–von_Neumann_classical_mechanics
Korteweg,Diederik,de Vries,Gustav,1877,Mathematics,,,Boussinesq,https://en.wikipedia.org/wiki/Korteweg–de_Vries_equation
Kramers,Hans,Anderson,Philip,1934,Physics,Solid-State Physics,,,https://en.wikipedia.org/wiki/Superexchange
Kramers,Hans,Heisenberg,Werner,1925,Physics,,,,
Kramers,Hans,Kronig,Ralph,1926,Physics,Optics,,,https://en.wikipedia.org/wiki/Kramers–Kronig_relations
Kramers,Hans,Wannier,Gregory,1941,Physics,Statistical Mechanics,,,https://en.wikipedia.org/wiki/Kramers–Wannier_duality
Kronecker,Leopold,Weber,Heinrich,1853,Mathematics,Number Theory,,,https://en.wikipedia.org/wiki/Kronecker–Weber_theorem#History
Kronig,Ralph,Penney,William,1931,Physics,Solid-State Physics,,,
Kullback,Solomon,Leibler,Richard,1951,Mathematics,Information Theory,,,https://en.wikipedia.org/wiki/Kullback–Leibler_divergence
Lamb,Willis,Mössbauer,Rudolf,1959,Physics,Particle Physics,,,https://en.wikipedia.org/wiki/Lamb–Mössbauer_factor
Landau,Lev,Ginzburg,Vitaly,,Physics,,,,https://en.wikipedia.org/wiki/Ginzburg–Landau_theory
Landau,Edmund,Kolmogorov,Andrey,,Mathematics,,,,https://en.wikipedia.org/wiki/Landau–Kolmogorov_inequality
Landau,Lev,Levich,Veniamin,1942,Engineering,Fluid Mechanics,,,https://en.wikipedia.org/wiki/Landau–Levich_problem
Landau,Lev,Lifshitz,Evgeny,,Physics,Solid-State Physics,,,https://en.wikipedia.org/wiki/Landau–Lifshitz_model
Landau,Edmund,Ramanujan,Srinivasa,1908,Mathematics,Number Theory,,,https://en.wikipedia.org/wiki/Landau–Ramanujan_constant
Landau,Lev,Raychaudhuri,Amal,,Physics,Relativity,,,https://en.wikipedia.org/wiki/Raychaudhuri_equation
Landau,Lev,Squire,Herbert,1944,Engineering,Fluid Mechanics,,N. A. Slezkin,https://en.wikipedia.org/wiki/Landau–Squire_jet
Landau,Lev,Yang,Chen-Ning,1948,Physics,Particle Physics,,,https://en.wikipedia.org/wiki/Landau–Yang_theorem
Landau,Lev,Zener,Clarence,1932,Physics,Quantum Mechanics,,"Ernst Stueckelberg, Ettore Majorana",https://en.wikipedia.org/wiki/Landau–Zener_formula
Langlands,Robert,Deligne,Pierre,1970,Mathematics,Representation Theory,,,https://en.wikipedia.org/wiki/Langlands–Deligne_local_constant
Laplace,Pierre-Simon,Beltrami,Eugenio,,Mathematics,Geometry,operator,,https://en.wikipedia.org/wiki/Laplace–Beltrami_operator
Levy,Mel,Lieb,Elliott,1979,,,,,
Lie,Sophus,Kolchin,Ellis,1948,Mathematics,Group Theory,,,https://en.wikipedia.org/wiki/Lie–Kolchin_theorem
Lie,Sophus,Palais,Richard,1957,Mathematics,Group Theory,,,https://en.wikipedia.org/wiki/Lie–Palais_theorem
Lieb,Elliott,Oxford,Stephen,1981,,,,,
Lindemann,Ferdinand,Weierstrass,Karl,1882,Mathematics,Number Theory,theorem,,https://en.wikipedia.org/wiki/Lindemann–Weierstrass_theorem
Liouville,Joseph,Green,George,1837,Mathematics,,,Francesco Carlini,https://en.wikipedia.org/wiki/WKB_approximation
Lippmann,Bernard,Schwinger,Julian,1950,Physics,Quantum Mechanics,,,https://en.wikipedia.org/wiki/Lippmann–Schwinger_equation
Littlewood,John,Paley,Raymond,1931,Mathematics,Analysis,,,https://en.wikipedia.org/wiki/Littlewood–Paley_theory
Ljung,Greta,Box,George,1978,Mathematics,Probability/Statistics,,,https://en.wikipedia.org/wiki/Ljung–Box_test
Lorentz,Hendrik,Lorenz,Ludvig,1869,Physics,Optics,,,https://en.wikipedia.org/wiki/Clausius–Mossotti_relation#Lorentz–Lorenz_equation
Lotka,Alfred,Volterra,Vito,1910,Biology,,,,
Lyapunov,Aleksandr,Malkin,Ioel,,Mathematics,,,,https://en.wikipedia.org/wiki/Lyapunov–Malkin_theorem
Lyapunov,Aleksandr,Schmidt,Erhard,,Mathematics,,,,https://en.wikipedia.org/wiki/Lyapunov–Schmidt_reduction
Manin,Yuri,Drinefeld,Vladimir,,Mathematics,,,,https://en.wikipedia.org/wiki/Manin–Drinfeld_theorem
Manin,Yuri,Mumford,David,1972,Mathematics,,,,https://en.wikipedia.org/wiki/Arithmetic_of_abelian_varieties#Manin–Mumford_conjecture
Mathai,Varghese,Quillen,Daniel,1986,Physics,Quantum Field Theory,form,,https://en.wikipedia.org/wiki/Mathai–Quillen_formalism
Maurer,Ludwig,Cartan,Élie,1904,Mathematics,Group Theory,,,https://en.wikipedia.org/wiki/Maurer–Cartan_form
Maxwell,James,Boltzmann,Ludwig,1860,Physics,Statistical Mechanics,,,https://en.wikipedia.org/wiki/Maxwell–Boltzmann_distribution
Mellin,Hjalmar,Barnes,Ernest,1908,Mathematics,Analysis,,,https://en.wikipedia.org/wiki/Barnes_integral
Mermin,David,Wagner,Herbert,1966,Physics,Statistical Mechanics,,,https://en.wikipedia.org/wiki/Mermin–Wagner_theorem
Michaelis,Leonor,Gutmann,Carl,1902,Biology,,,,https://en.wikipedia.org/wiki/Michaelis–Gutmann_bodies
Michaelis,Leonor,Menten,Maud,,Biology,Biochemistry,,,https://en.wikipedia.org/wiki/Michaelis–Menten_kinetics
Minkowski,Hermann,Hlawka,Edmund,1911,Mathematics,Geometry,theorem,,https://en.wikipedia.org/wiki/Minkowski–Hlawka_theorem
Minkowski,Hermann,Steiner,Jakob,,Mathematics,Geometry,formula,,https://en.wikipedia.org/wiki/Minkowski–Steiner_formula
Metropolis,Nicholas,Hastings,Wilfred,1953,Mathematics,Numerics,algorithm,"Arianna W. Rosenbluth, Marshall Rosenbluth, Augusta H. Teller and Edward Teller",
Møller,Christian,Plesset,Milton,1934,Chemistry,Quantum Chemistry,,,https://en.wikipedia.org/wiki/Møller–Plesset_perturbation_theory
Moens,Adriaan,Korteweg,Diederik,1877,Biology,Biomechanics,equation,,https://en.wikipedia.org/wiki/Moens–Korteweg_equation
Mohr,Georg,Mascheroni,Lorenzo,1672,Mathematics,Geometry,theorem,,https://en.wikipedia.org/wiki/Mohr–Mascheroni_theorem#History
Morse,Marston,Palais,Richard,,Mathematics,,lemma,,https://en.wikipedia.org/wiki/Morse–Palais_lemma
Morse,Marston,Smale,Stephen,,Mathematics,,system,,https://en.wikipedia.org/wiki/Morse–Smale_system
Mostow,George,Palais,Richard,1957,Mathematics,Group Theory,theorem,,https://en.wikipedia.org/wiki/Mostow–Palais_theorem
Mott,Nevill,Bethe,Hans,1930,Physics,,formula,,https://en.wikipedia.org/wiki/Mott–Bethe_formula
Mott,Nevill,Gurney,Ronald,1940,Engineering,Materials,law,,https://en.wikipedia.org/wiki/Space_charge#Drift_regime_(Mott–Gurney_law)
Mullins,William,Sekerka,Robert,,Engineering,Materials,,,
Mumford,David,Shah,Jayant,1989,Mathematics,,functional,,https://en.wikipedia.org/wiki/Mumford–Shah_functional
Nabarro,Frank,Herring,Conyers,1950,Engineering,Materials,creep,,https://en.wikipedia.org/wiki/Nabarro–Herring_creep
Nambu,Jeffrey,Goldstone,Yoichiro,1960,Physics,Particle Physics,fermion,,https://en.wikipedia.org/wiki/Goldstone_boson#Nambu–Goldstone_fermions
Nambu,Jeffrey,Goto,Tetsuo,1970,Physics,String Theory,action,,https://en.wikipedia.org/wiki/Nambu–Goto_action#cite_note-1
Navier,Claude-Louis,Stokes,George,,Engineering,Fluid Mechanics,equation,,https://en.wikipedia.org/wiki/Navier–Stokes_equations
Nernst,Walther,Einstein,Albert,,Chemistry,Electrochemistry,equation,,
Nernst,Walther,Planck,Max,,Chemistry,Electrochemistry,equation,,https://en.wikipedia.org/wiki/Nernst–Planck_equation
Néron,André,Tate,John,1965,Mathematics,,height,,https://en.wikipedia.org/wiki/Néron–Tate_height
Newton,Isaac,Cartan,Élie,1923,Physics,,theory,,https://en.wikipedia.org/wiki/Newton–Cartan_theory
Newton,Isaac,Cotes,Roger,,Mathematics,Numerics,formula,,https://en.wikipedia.org/wiki/Newton–Cotes_formulas
Newton,Isaac,Raphson,Joseph,1690,Mathematics,Numerics,method,,https://en.wikipedia.org/wiki/Newton%27s_method
Nosé,Shuichi,Hoover,William,1985,Engineering,Simulation,algorithm,,
Nyquist,Harry,Shannon,Claude,1915,Mathematics,Information Theory,theorem,"E. T. Whittaker, Vladimir Kotelnikov",https://en.wikipedia.org/wiki/Nyquist–Shannon_sampling_theorem
Okubo,A,Weiss,Jeffrey,1970,Engineering,Fluid Mechanics,parameter,,https://en.wikipedia.org/wiki/Okubo-Weiss_parameter
Onsager,Lars,Machlup,S.,1953,Mathematics,Differential Equations,function,,https://en.wikipedia.org/wiki/Onsager–Machlup_function
Oppenheimer,Robert,Philips,Melba,1935,Physics,Particle Physics,process,,https://en.wikipedia.org/wiki/Oppenheimer–Phillips_process
Orr,William,Sommerfeld,Arnold,1907,Engineering,Fluid Mechanics,equation,,https://en.wikipedia.org/wiki/Orr–Sommerfeld_equation
Palais,Richard,Smale,Stephen,,Mathematics,,condition,,https://en.wikipedia.org/wiki/Palais–Smale_compactness_condition
Paley,Raymond,Wiener,Norbert,,Mathematics,,theorem,,https://en.wikipedia.org/wiki/Paley–Wiener_theorem
Paley,Raymond,Zygmund,Antoni,1932,Mathematics,Probability/Statistics,inequality,,https://en.wikipedia.org/wiki/Paley–Zygmund_inequality
Peach,,Koehler,James,1950,Engineering,Materials,force,,
Peierls,Rudolf,Nabarro,Frank,,Engineering,Materials,,,https://en.wikipedia.org/wiki/Peierls_stress
Penrose,Roger,Hawking,Stephen,,Physics,Cosmology,,,https://en.wikipedia.org/wiki/Penrose–Hawking_singularity_theorems
Peter,Fritz,Weyl,Hermann,1927,Mathematics,Harmonic Analysis,theorem,,https://en.wikipedia.org/wiki/Peter–Weyl_theorem
Phragmén,Lars,Brouwer,Luitzen,,Mathematics,Topology,theorem,,https://en.wikipedia.org/wiki/Phragmen–Brouwer_theorem
Phragmén,Lars,Lindelöf,Ernst,1908,Mathematics,,principle,,https://en.wikipedia.org/wiki/Phragmén–Lindelöf_principle
Picard,Émile,Lefschetz,Solomon,1897,Mathematics,Topology,theory,,https://en.wikipedia.org/wiki/Picard–Lefschetz_theory
Picard,Émile,Lindelöf,Ernst,,Mathematics,Differential Equations,theorem,,https://en.wikipedia.org/wiki/Picard–Lindelöf_theorem
Picard,Émile,Vessiot,Ernest,1898,Mathematics,,theory,,https://en.wikipedia.org/wiki/Picard–Vessiot_theory
Poincaré,Henri,Bjerknes,Vilhelm,1898,Engineering,Fluid Mechanics,,,https://en.wikipedia.org/wiki/Kelvin%27s_circulation_theorem#Poincaré–Bjerknes_circulation_theorem
Poincaré,Henri,Hopf,Heinz,,Mathematics,Topology,theorem,,https://en.wikipedia.org/wiki/Poincaré–Hopf_theorem
Poincaré,Henri,Lindstedt,Anders,,Mathematics,,method,,https://en.wikipedia.org/wiki/Poincaré–Lindstedt_method
Poisson,Siméon,Lie,Sophus,,Mathematics,Group Theory,group,,https://en.wikipedia.org/wiki/Poisson–Lie_group
Pólya,George,Szegö,Gábor,1951,Mathematics,Analysis,inequality,,https://en.wikipedia.org/wiki/Pólya–Szegő_inequality
Pólya,George,Vinogradov,Ivan,1918,Mathematics,,inequality,,https://en.wikipedia.org/wiki/Quadratic_residue#The_Pólya–Vinogradov_inequality
Poncelet,Jean-Victor,Steiner,Jakob,1833,Mathematics,Geometry,theorem,,https://en.wikipedia.org/wiki/Poncelet–Steiner_theorem
Poole,HH,Frenkel,Yakov,1938,Physics,Solid-State Physics,effect,,https://en.wikipedia.org/wiki/Poole–Frenkel_effect
Plateau,Joseph,Rayleigh,Lord*,1873,Engineering,Fluid Mechanics,instability,,https://en.wikipedia.org/wiki/Plateau–Rayleigh_instability
Prandtl,Ludwig,Batchelor,George,1904,Engineering,Fluid Mechanics,theorem,,https://en.wikipedia.org/wiki/Prandtl–Batchelor_theorem
Prandtl,Ludwig,Meyer,Theodor,1908,Engineering,Supersonics,,,https://en.wikipedia.org/wiki/Prandtl–Meyer_expansion_fan
Quillen,Daniel,Suslin,Andrei,1976,Mathematics,Algebra,theorem,,https://en.wikipedia.org/wiki/Quillen–Suslin_theorem
Ramanujan,Srinivasa,Sato,T,2002,Mathematics,Number Theory,series,,https://en.wikipedia.org/wiki/Ramanujan–Sato_series#cite_note-Sato-7
Ramanujan,Srinivasa,Soldner,Johann,,Mathematics,,constant,,https://en.wikipedia.org/wiki/Ramanujan–Soldner_constant
Rao,Calyampudi,Blackwell,David,1947,Mathematics,Probability/Statistics,theorem,,https://en.wikipedia.org/wiki/Rao–Blackwell_theorem
Rayleigh,Lord*,Bénard,Henri,1916,Engineering,Fluid Mechanics,,,https://en.wikipedia.org/wiki/Rayleigh–Bénard_convection#Rayleigh–Bénard_instability
Rayleigh,Lord*,Jeans,James,1905,Physics,,law,,https://en.wikipedia.org/wiki/Rayleigh–Jeans_law
Rayleigh,Lord*,Lorentz,Hendrik,1902,Physics,Classical Mechanics,pendulum,,https://en.wikipedia.org/wiki/Rayleigh–Lorentz_pendulum
Rayleigh,Lord*,Plesset,Milton,1917,Engineering,Fluid Mechanics,equation of state,W. H. Besant,https://en.wikipedia.org/wiki/Rayleigh–Plesset_equation
Rayleigh,Lord*,Ritz,Walther,1908,Mathematics,,method,,https://en.wikipedia.org/wiki/Rayleigh–Ritz_method
Rayleigh,Lord*,Schrödinger,Erwin,1926,Physics,Quantum Mechanics,,,https://en.wikipedia.org/wiki/Perturbation_theory_(quantum_mechanics)
Rayleigh,Lord*,Taylor,Geoffrey,1883,Engineering,Fluid Mechanics,instability,,https://en.wikipedia.org/wiki/Rayleigh–Taylor_instability
Renner,Rudolf,Teller,Edward,1934,Physics,AMO,effect,,https://en.wikipedia.org/wiki/Renner–Teller_effect
Richtmyer,Robert,Meshkov,,1969,Engineering,Fluid Mechanics,instability,,https://en.wikipedia.org/wiki/Richtmyer–Meshkov_instability
Riemann,Bernhard,Hilbert,David,,Mathematics,,problem,,https://en.wikipedia.org/wiki/Riemann–Hilbert_problem
Riemann,Bernhard,Lebesgue,Henri,,,,lemma,,https://en.wikipedia.org/wiki/Riemann–Lebesgue_lemma
Riemann,Bernhard,Liouville,Joseph,,Mathematics,,integral,,https://en.wikipedia.org/wiki/Riemann–Liouville_integral
Riemann,Bernhard,Roch,Gustav,1865,Mathematics,Analysis,theorem,,https://en.wikipedia.org/wiki/Riemann–Roch_theorem
Riemann,Bernhard,Stieltjes,Thomas,1884,Mathematics,,integral,,https://en.wikipedia.org/wiki/Riemann–Stieltjes_integral
Rogers,Leonard,Ramanujan,Srinivasa,1894,Mathematics,,identity,,https://en.wikipedia.org/wiki/Rogers–Ramanujan_identities
Rogers,Leonard,Szegö,Gábor,1926,Mathematics,,polynomial,,https://en.wikipedia.org/wiki/Rogers–Szegő_polynomials
Rubin,Vera,Ford,William,1976,Physics,Astrophysics,effect,"Norbert Thonnard, Morton Roberts, John Graham",https://en.wikipedia.org/wiki/Rubin–Ford_effect
Ruddlesden,S.N.,Popper,P.,1957,Engineering,Materials,phase,,https://en.wikipedia.org/wiki/Ruddlesden-Popper_phase
Runge,Carl,Kutta,Wilhelm,1900,Mathematics,Numerics,method,,
Sackur,Otto,Tetrode,Hugo,1912,Physics,Thermodynamics,equation,,https://en.wikipedia.org/wiki/Sackur–Tetrode_equation
Saffman,Philip,Taylor,Geoffrey,1958,Engineering,Fluid Mechanics,instability,,https://en.wikipedia.org/wiki/Saffman–Taylor_instability
Sato,Mikio,Tate,John,1960,Mathematics,Geometry,conjecture,,https://en.wikipedia.org/wiki/Sato–Tate_conjecture
Schönberg,Mario,Chandrasekhar,Subrahmanyan,1942,Physics,Astrophysics,limit,,https://en.wikipedia.org/wiki/Schönberg–Chandrasekhar_limit
Schottky,Friedrich,Klein,Felix,,Mathematics,Geometry,form,,https://en.wikipedia.org/wiki/Prime_form
Schottky,Walter,Mott,Nevill,,Engineering,Materials,rule,,https://en.wikipedia.org/wiki/Metal–semiconductor_junction#Schottky–Mott_rule_and_Fermi_level_pinning
Serre,Jean-Pierre,Swan,Richard,1955,Mathematics,Topology,theorem,,https://en.wikipedia.org/wiki/Serre–Swan_theorem
Serre,Jean-Pierre,Tate,John,1964,Mathematics,Group Theory,theorem,,https://en.wikipedia.org/wiki/Serre–Tate_theorem
Shannon,Claude,Hartley,Ralph,1948,Mathematics,Information Theory,theorem,,https://en.wikipedia.org/wiki/Shannon–Hartley_theorem#Historical_development
Shannon,Claude,Weaver,Warren,1948,Mathematics,Information Theory,model,,https://en.wikipedia.org/wiki/Shannon–Weaver_model
Shockley,William,Queisser,Hans-Joachim,1961,Engineering,Electronics,limit,,https://en.wikipedia.org/wiki/Shockley–Queisser_limit
Shubnikov,Lev,de Haas,Wander,1930,Physics,Magnetism,effect,,https://en.wikipedia.org/wiki/Shubnikov–de_Haas_effect
Slater,John,Condon,Edward,1930,Chemistry,Quantum Chemistry,rule,,https://en.wikipedia.org/wiki/Slater–Condon_rules
Slater,John,Koster,George,1954,Physics,Solid-State Physics,,,https://en.wikipedia.org/wiki/Tight_binding
Slepian,David,Wolf,Jack,1973,Mathematics,Information Theory,coding,,https://en.wikipedia.org/wiki/Slepian–Wolf_coding
Snell,Willebrord,Descartes,René,984,Physics,Optics,law,Ibn Sahl,https://en.wikipedia.org/wiki/Snell%27s_law
Snell,Willebrord,Pothenot,Laurent,1615,Mathematics,Geometry,problem,,https://en.wikipedia.org/wiki/Snellius–Pothenot_problem
Sommerfeld,Arnold,Kossel,Walther,1919,Physics,AMO,law,,https://en.wikipedia.org/wiki/Sommerfeld–Kossel_displacement_law
Stallings,John,Swan,Richard,,Mathematics,Group Theory,theorem,,https://en.wikipedia.org/wiki/Cohomological_dimension#Examples
Stark,Johannes,Einstein,Alfred,1908,Chemistry,Photochemistry,law,,https://en.wikipedia.org/wiki/Photoelectrochemical_process#Stark–Einstein_law
Stefan,Josef,Boltzmann,Ludwig,1884,Physics,,law,,https://en.wikipedia.org/wiki/Stefan–Boltzmann_law#History
Steiner,Jakob,Lehmus,Daniel,,Mathematics,Geometry,theorem,,https://en.wikipedia.org/wiki/Steiner–Lehmus_theorem
Stern,Otto,Gerlach,Walther,1921,Physics,Quantum Mechanics,experiment,,https://en.wikipedia.org/wiki/Stern–Gerlach_experiment
Stern,Otto,Volmer,Max,,Chemistry,Photochemistry,relationship,,https://en.wikipedia.org/wiki/Stern–Volmer_relationship
Stokes,George,Einstein,Albert,1905,Engineering,Fluid Mechanics,equation,Sutherland,https://thermopedia.com/content/1156/
Stone,Marshall,Čech,Eduard,1937,Mathematics,Topology,compactification,,https://en.wikipedia.org/wiki/Stone–Čech_compactification
Stone,Marshall,von Neumann,John,1931,Physics,Quantum Mechanics,theorem,,https://en.wikipedia.org/wiki/Stone–von_Neumann_theorem#CITEREFvon_Neumann1931
Stone,Marshall,Weierstrass,Karl,1885,Mathematics,Analysis,theorem,,https://en.wikipedia.org/wiki/Stone–Weierstrass_theorem
Stoner,Edmund,Wohlfarth,Erich,1948,Physics,Solid-State Physics,model,,https://en.wikipedia.org/wiki/Stoner–Wohlfarth_model
Streeter,H. W.,Phelps,Earle,1925,Engineering,Civil/Environmental Engineering,equation,,https://en.wikipedia.org/wiki/Streeter–Phelps_equation
Stuart,John,Landau,Lev,1944,Engineering,Fluid Mechanics,equation,,https://en.wikipedia.org/wiki/Stuart–Landau_equation
Sturm,Jacques,Liouville,Joseph,,Mathematics,,theory,,https://en.wikipedia.org/wiki/Sturm–Liouville_theory
Tate,John,Farrell,Thomas,1977,Mathematics,Group Theory,cohomology,,https://en.wikipedia.org/wiki/Tate_cohomology_group#Tate-Farrell_cohomology
Taylor,Geoffrey,Couette,Maurice,,Engineering,Fluid Mechanics,flow,,https://en.wikipedia.org/wiki/Taylor–Couette_flow
Taylor,Geoffrey,Goldstein,Sydney,1931,Engineering,Fluid Mechanics,equation,B. Haurwitz,https://en.wikipedia.org/wiki/Taylor–Goldstein_equation
Taylor,Geoffrey,Green,Albert,1937,Engineering,Fluid Mechanics,vortex,,https://en.wikipedia.org/wiki/Taylor–Green_vortex
Taylor,Geoffrey,Proudman,Joseph,1916,Engineering,Fluid Mechanics,theorem,,https://en.wikipedia.org/wiki/Taylor–Proudman_theorem
Teller,Edward,Ulam,Stanisław,1951,Engineering,,design,,https://en.wikipedia.org/wiki/History_of_the_Teller–Ulam_design
Thue,Axel,Morse,Marston,1906,Mathematics,,sequence,Eugène Prouhet,https://en.wikipedia.org/wiki/Thue–Morse_sequence#History
von Kármán,Theodore,Howarth,Leslie,1938,Engineering,Fluid Mechanics,equation,,https://en.wikipedia.org/wiki/Kármán–Howarth_equation
von Mises,Richard,Fisher,Ronald,1953,Mathematics,Probability/Statistics,distribution,,https://en.wikipedia.org/wiki/von_Mises–Fisher_distribution
von Neumann,John,Morgenstern,Oskar,1947,Economics,,theorem,,https://en.wikipedia.org/wiki/von_Neumann–Morgenstern_utility_theorem
von Neumann,John,Mullins,William,1956,Engineering,Materials,,,
Wang,Fugao,Landau,David,2001,Mathematics,Numerics,algorithm,,https://en.wikipedia.org/wiki/Wang_and_Landau_algorithm
Wannier,Gregory,Mott,Nevill,1937,Physics,Solid-State Physics,exciton,,https://en.wikipedia.org/wiki/Exciton#Wannier–Mott_exciton
Weierstrass,Karl,Enneper,Alfred,1863,Mathematics,Geometry,parameterization,,https://en.wikipedia.org/wiki/Weierstrass–Enneper_parameterization
Wiedemann,Gustav,Franz,Rudolph,1853,Physics,Solid-State Physics,law,,
Whittaker,Edmund,Shannon,Claude,1898,Mathematics,Information Theory,formula,Borel,https://en.wikipedia.org/wiki/Whittaker–Shannon_interpolation_formula
Wiener,Norbert,Hopf,Eberhard,1931,Mathematics,,method,,https://encyclopediaofmath.org/index.php?title=Wiener-Hopf_method
Wiener,Norbert,Ikehara,Shikao,1931,Mathematics,Number Theory,theorem,,https://en.wikipedia.org/wiki/Wiener–Ikehara_theorem
Wiener,Norbert,Khinchin,Aleksandr,1930,Mathematics,Probability/Statistics,theorem,,https://en.wikipedia.org/wiki/Wiener–Khinchin_theorem
Wiener,Norbert,Wintner,Aurel,1941,Mathematics,Probability/Statistics,theorem,,https://en.wikipedia.org/wiki/Wiener–Wintner_theorem
Wigner,Eugene,Seitz,Frederick,1933,Physics,Solid-State Physics,cell,,https://en.wikipedia.org/wiki/Wigner–Seitz_cell
Yang,Chen-Ning,Mills,Robert,1954,Physics,Particle Physics,theory,,https://en.wikipedia.org/wiki/Yang–Mills_theory#History_and_theoretical_description
Young,Thomas,Helmholtz,Hermann,1850,Biology,,theory,,https://en.wikipedia.org/wiki/Young–Helmholtz_theory
Young,Thomas,Laplace,Pierre-Simon,1830,Engineering,Fluid Mechanics,equation,Gauss,https://en.wikipedia.org/wiki/Young–Laplace_equation
Zener,Clarence,Hollomon,John,,Engineering,Materials,parameter,,https://en.wikipedia.org/wiki/Zener–Hollomon_parameter